Bribri001	Ie’ tso bua’	TYPE:NEG	Ie’ kë̀ ku̠ bua’
Bribri002	Ie’ tso bua’	TENSE:PER_REM, ASPECT:PER	Ie’ bák bua’
Bribri003	Ie’ tso bua’	TYPE:NEG, TENSE:PER_REM, ASPECT:PER	Ie’ kë̀ ku̠’bak bua’
Bribri004	Ie’ tso bua’	TYPE:NEG	Kë̀ i ku̠’ bua’
Bribri005	Ye’ i̠ni̠’	TENSE:IMP_REC, ASPECT:IMP	Ie’ i̠nù̠
Bribri006	Ye’ i̠ni̠’	TENSE:IMP_REC, ASPECT:IMP	Ye’ i̠nù̠
Bribri007	Ye’ i̠ni̠’	TENSE:IMP_HAB, ASPECT:IMP	Ie’ i̠nù̠ke
Bribri008	Ye’ i̠ni̠’	TENSE:IMP_HAB, ASPECT:IMP	Ye’ i̠nù̠ke̠
Bribri009	Ye’ i̠ni̠’	TYPE:NEG, TENSE:IMP_HAB, ASPECT:IMP	Kë̀ ye’ i̠nù̠ku̠
Bribri010	Ye’ i̠ni̠’	TENSE:PER_REC	Ie’ i̠né̠
Bribri011	Ye’ i̠ni̠’	TENSE:IMP_REC, ASPECT:IMP, VOICE:MID	I̠nì̠r
Bribri012	Ye’ i̠ni̠’	VOICE:MID	I̠nìne̠
Bribri013	Ye’ i̠ni̠’	TYPE:NEG, VOICE:MID	Ye’ kë̀ i̠nì̠ne̠
Bribri014	Ye’ i̠ni̠’	TENSE:FUT_CER, ASPECT:IMP	Ye’ i̠nù̠râ
Bribri015	Ye’ i̠ni̠’	TYPE:NEG, TENSE:FUT_CER, ASPECT:IMP	Kë̀ ye’ i̠nù̠pa
Bribri016	Ye’ i̠ni̠’	TENSE:IMP_REC, ASPECT:IMP	Ye’ tso i̠nú̠k
Bribri017	Ye’ i̠ni̠’	TYPE:NEG, TENSE:IMP_REC, ASPECT:IMP	Ye’ kë̀ ku̠ i̠nú̠k
Bribri018	Ye’ i̠ni̠’	TENSE:PAS	Ye’ i̠ní̠rule
Bribri019	Ye’ i̠ni̠’	TYPE:NEG, TENSE:PAS	Ye’ kë̀ i̠ní̠rule
Bribri020	Ye’ i̠ni̠’	TENSE:FUT_PT, ASPECT:IMP	Ye’ i̠nù̠mi̠
Bribri021	Ye’ i̠ni̠’	TYPE:NEG, TENSE:FUT_PT, ASPECT:IMP	Kë̀ ye’ i̠nu̠k
Bribri022	Ye’ i̠ni̠’	MODE:OPT, TENSE:IMP_HAB, ASPECT:IMP	Ie’ i̠na̠’ku
Bribri023	Ye’ i̠ni̠’	MODE:EXH, TENSE:IMP_HAB, ASPECT:IMP, NUMBER:PL	Se’ i̠nù̠
Bribri024	Ye’ i̠ni̠’	MODE:IMP, TENSE:IMP_REC, ASPECT:IMP	Ma̠ i̠nú̠
Bribri025	Ye’ i̠ni̠’	TYPE:NEG, MODE:IMP, TENSE:IMP_REC, ASPECT:IMP	Kë̀ ma̠ i̠nu̠k
Bribri026	Ye’ tö ù sú̠	TENSE:PER_REC	Ye’ tö ū̀ sa̠wé̠
Bribri027	Ye’ tö ù sú̠	TENSE:IMP_CON, ASPECT:IMP	Ye’ tso ù sa̠u̠k
Bribri028	Ye’ tö ù sú̠	VOICE:MID	Ù sù̠ne̠
Bribri029	Ye’ tö ù sú̠	TYPE:NEG, VOICE:MID	Kë̀ ù sù̠ne̠
Bribri030	Ye’ tö ù sú̠	TENSE:PER_REC, VOICE:MID	Ù sù̠na̠
Bribri031	Ye’ tö ù sú̠	TENSE:IMP_REC, ASPECT:IMP, VOICE:MID	Ù sú̠r
Bribri032	Ye’ tö ù sú̠	TYPE:NEG, TENSE:IMP_REC, ASPECT:IMP, VOICE:MID	Kë̀ ù sú̠r
Bribri033	Ye’ tö ù sú̠	TYPE:NEG	Ye’ kë̀ wa̠ ù sù̠ne̠
Bribri034	Ye’ tö ù sú̠	TENSE:PAS, VOICE:MID	Ù sú̠rule
Bribri035	Ye’ tö ù sú̠	TENSE:PAS	Ie’pa wa̠ ù sú̠rule
Bribri036	Ye’ tö ù sú̠	TYPE:NEG, TENSE:PAS	Kë̀ ie’pa wa̠ ù sú̠rule
Bribri037	Ye’r i sú̠	TENSE:IMP_REC, ASPECT:IMP	Ye’r i sa̠wè̠
Bribri038	Ye’r i sú̠	TENSE:FUT_CER, ASPECT:IMP	Ye’r i sa̠wè̠râ
Bribri039	Ye’r i sú̠	TYPE:NEG, TENSE:FUT_CER, ASPECT:IMP	Kë̀ ye’r i sa̠wè̠pa
Bribri040	Ye’r i sú̠	TENSE:IMP_HAB, ASPECT:IMP	Ye’r i sa̠wè̠ke̠
